flightNumber;plane;dep_airport_code;arr_airport_code;delay
IBE8324; ATR-72;MAD;EAS;-4
VLG2486; AIRBUS A319;BCN;EAS;28
VLG2011; 32B;GRX;BCN;29
IBE8641; BOMBARDIER CRJ-1000;GRX;MAD;25
EZY1816; 32A;GRX;MAN;23
VLG2021; AIRBUS A320;GRX;BCN;21
AEA5200; EMBRAER ERJ-195;GRX;PMI;10
VLG3932; 32A;GRX;PMI;11
BAW3290; EMBRAER 190;GRX;LCY;14
IBE8645; CANADAIR CRJ-900;GRX;MAD;20
IBE8649; BOMBARDIER CRJ-1000;GRX;MAD;-8
VLG2015; AIRBUS A320;GRX;BCN;11
IBE8643; BOMBARDIER CRJ-1000;GRX;MAD;20
VLG2619; AIRBUS A320;GRX;BIO;7
VLG2017; 32B;GRX;BCN;18
IBE8639; CANADAIR CRJ-900;GRX;MAD;0
VLG2011; AIRBUS A320;GRX;BCN;16
VLG3541; AIRBUS A320;IBZ;BCN;-3
IBE8105; BOMBARDIER CRJ-1000;IBZ;PMI;8
AEA1703; ATR-72;IBZ;PMI;21
RYR8333; BOEING 737-800 WINGLETS;IBZ;BGY;-2
RYR8265; BOEING 737-800 WINGLETS;IBZ;BRS;6
BAW8462; EMBRAER 190;IBZ;LCY;19
VLG3515; AIRBUS A320;IBZ;BCN;15
BAW8464; EMBRAER 190;IBZ;LCY;-1
IBE8111; ATR-42\/72;IBZ;PMI;35
RYR7217; BOEING 737-800 WINGLETS;IBZ;VLC;38
RYR6720; BOEING 737-800 WINGLETS;IBZ;TRN;13
VLG3416; AIRBUS A320;IBZ;MAD;5
IBE8907; CANADAIR CRJ-200;IBZ;ALC;16
VLG3694; AIRBUS A320;IBZ;VLC;24
AEA2632; BOEING 737-800 WINGLETS;IBZ;ZAZ;3
RYR6703; BOEING 737-800 WINGLETS;IBZ;FCO;22
IBE8911; BOMBARDIER CRJ-1000;IBZ;MAD;-5
VLG1702; 32A;BCN;VGO;27
AEA7302; EMBRAER ERJ-195;MAD;VGO;36
IBE0532; AIRBUS A319;MAD;VGO;10
IBS9524; AIRBUS A320;PMI;VGO;8
AEA7300; EMBRAER ERJ-195;MAD;VGO;13
IBE0534; AIRBUS A319;MAD;VGO;11
AEA2727; BOEING 737-800 WINGLETS;BCN;VGO;16
RYR245; BOEING 737-800 WINGLETS;BCN;VGO;7
AEA7306; EMBRAER ERJ-195;MAD;VGO;31
RYR5947; BOEING 737-800 WINGLETS;MJV;BOH;9
EZY6014; 32A;MJV;BRS;17
RYR1925; BOEING 737-800 WINGLETS;MJV;EMA;28
RYR8025; BOEING 737-800 WINGLETS;MJV;STN;17
EXS208; BOEING 737-300;MJV;LBA;-3
EZY8552; AIRBUS A320;MJV;LGW;11
RYR7843; BOEING 737-800 WINGLETS;MJV;PIK;5
EXS524; BOEING 737-300 WINGLETS;MJV;NCL;6
EXS822; BOEING 737-300 WINGLETS;MJV;EDI;0
JAF5902; BOEING 737-800 WINGLETS;MJV;CRL;16
EXS864; BOEING 737-800 WINGLETS;MJV;MAN;24
RYR8027; BOEING 737-800 WINGLETS;MJV;STN;-2
RYR2323; BOEING 737-800 WINGLETS;MJV;LBA;2
RYR4117; BOEING 737-800 WINGLETS;MJV;MAN;11
RYR3453; BOEING 737-800 WINGLETS;MJV;LTN;10
RYR7095; BOEING 737-800 WINGLETS;MJV;DUB;20
EZY8554; AIRBUS A320;MJV;LGW;9
JAF6902; EMBRAER 190;MJV;ANR;11
RYR2155; BOEING 737-800 WINGLETS;MJV;BHX;-7
EZY8550; AIRBUS A319;MJV;LGW;9
EZY6014; AIRBUS A319;MJV;BRS;8
IBB605; ATR-72;TFN;SPC;10
IBB309; ATR-72;LPA;SPC;5
CNF412; ATR-72;TFN;SPC;14
IBB607; ATR-42\/72;TFN;SPC;13
AEA9461; ATR-72;TFN;SPC;13
IBB611; ATR-42\/72;TFN;SPC;9
CNF418; ATR-72;TFN;SPC;22
IBB609; ATR-72;TFN;SPC;13
AEA9463; ATR-72;TFN;SPC;17
IBB619; ATR-72;TFN;SPC;10
IBB621; ATR-42\/72;TFN;SPC;4
IBS3842; AIRBUS A320;MAD;SPC;7
IBB629; ATR-42\/72;TFN;SPC;14
CNF452; ATR-72;TFN;SPC;37
IBB631; ATR-42\/72;TFN;SPC;32
IBE2228; ATR-42\/72;TFN;SPC;5
AEA9465; ATR-72;TFN;SPC;17
IBB633; ATR-72;TFN;SPC;17
IBB623; ATR-42\/72;TFN;SPC;13
AEA9479; ATR-72;TFN;SPC;20
IBB315; ATR-72;LPA;SPC;17
IBB637; ATR-42\/72;TFN;SPC;28
IBB414; ATR-42\/72;TFN;FUE;-4
CNF803; ATR-72;LPA;FUE;14
IBB236; ATR-72;LPA;FUE;16
IBB208; ATR-72;LPA;FUE;28
IBB210; ATR-72;LPA;FUE;24
IBB422; ATR-42\/72;TFN;FUE;37
CNF809; ATR-72;LPA;FUE;10
IBB206; ATR-72;LPA;FUE;6
RYR5468; BOEING 737-800 WINGLETS;MAD;FUE;29
AEA9433; ATR-72;LPA;FUE;13
CNF412; ATR-72;TFN;SPC;42
IBB655; ATR-72;TFN;VDE;17
IBB102; BOMBARDIER CRJ-1000;TFN;LPA;18
AEA9404; ATR-72;TFN;LPA;18
IBB607; ATR-42\/72;TFN;SPC;15
CNF612; ATR-42\/72;TFN;LPA;18
AEA9461; ATR-72;TFN;SPC;12
AEA5103; BOEING 737-800 WINGLETS;TFN;SVQ;14
IBB104; ATR-42\/72;TFN;LPA;24
VLG3257; AIRBUS A320;TFN;SVQ;15
IBB611; ATR-42\/72;TFN;SPC;17
IBB108; ATR-42\/72;TFN;LPA;25
IBB114; ATR-42\/72;TFN;LPA;24
IBB651; ATR-42\/72;TFN;GMZ;13
LAV5213; BOEING 737-400;TFN;SCQ;23
CNF418; ATR-72;TFN;SPC;23
AEA9047; BOEING 737-800 WINGLETS;TFN;MAD;12
IBK6307; BOEING 737-800 WINGLETS;TFN;MAD;0
IBB609; ATR-72;TFN;SPC;22
IBE0478; AIRBUS A321;MAD;OVD;11
VOE3583; BOEING 717;VLC;OVD;14
IBE0488; AIRBUS A320;MAD;OVD;18
VLG1629; AIRBUS A320;AGP;OVD;11
VLG1579; AIRBUS A320;BCN;OVD;2
IBS3980; AIRBUS A320;MAD;OVD;3
IBE0476; AIRBUS A319;MAD;OVD;14
VOE3924; BOEING 717;AGP;OVD;0
IBE0480; AIRBUS A321;MAD;OVD;18
IBE0482; AIRBUS A320;MAD;OVD;12
VOE3830; BOEING 717;SVQ;OVD;7
VLG1571; AIRBUS A320;BCN;OVD;20
VLG1573; AIRBUS A320;BCN;OVD;21
VLG3713; 32A;MAH;BCN;9
VLG3803; 32A;MAH;BIO;17
IBE8483; CANADAIR CRJ-900;MAH;PMI;4
EZY8302; AIRBUS A319;MAH;LGW;19
VLG3715; AIRBUS A320;MAH;BCN;18
IBE8666; CANADAIR CRJ-900;MAH;ILD;16
AEA4532; ATR-72;MAH;PMI;12
VLG3745; AIRBUS A320;MAH;BCN;-1
IBE8957; BOMBARDIER CRJ-1000;MAH;MAD;13
IBE8491; CANADAIR CRJ-900;MAH;PMI;7
IBE8499; ATR-42\/72;MAH;PMI;17
RYR7402; BOEING 737-800 WINGLETS;MAH;VLC;24
AEA4530; ATR-72;MAH;PMI;9
IBE8493; ATR-42\/72;MAH;PMI;23
RYR6882; BOEING 737-800 WINGLETS;MAH;BCN;5
IBE8027; BOMBARDIER CRJ-1000;MAH;MAD;-2
VLG3701; AIRBUS A320;MAH;BCN;28
AEA5001; ATR-72;AGP;MLN;33
IBE8262; ATR-72;AGP;MLN;25
IBE8792; ATR-72;MAD;MLN;25
IBE8268; ATR-72;AGP;MLN;17
IBE8264; ATR-72;AGP;MLN;33
IBE8790; ATR-72;MAD;MLN;7
IBE8276; ATR-72;AGP;MLN;11
AEA5005; ATR-72;AGP;MLN;29
IBE8270; ATR-72;AGP;MLN;20
IBE8798; ATR-72;MAD;MLN;22
IBE8272; ATR-72;AGP;MLN;11
AEA5001; ATR-72;AGP;MLN;9
IBE8262; ATR-72;AGP;MLN;9
RYR1129; BOEING 737-800 WINGLETS;LPA;BHX;-11
IBB107; BOMBARDIER CRJ-1000;LPA;TFN;22
IBB236; ATR-72;LPA;FUE;1
IBB115; ATR-72;LPA;TFN;10
IBB504; ATR-72;LPA;ACE;35
IBB105; ATR-72;LPA;TFN;6
IBB119; BOMBARDIER CRJ-1000;LPA;TFN;-6
AEA9415; ATR-72;LPA;TFN;25
IBB208; ATR-72;LPA;FUE;6
AEA9447; ATR-72;LPA;ACE;25
TVS4434; BOEING 737-800 WINGLETS;LPA;MUC;13
IBB123; ATR-72;LPA;TFS;12
IBB210; ATR-72;LPA;FUE;17
AEA9161; AIRBUS A330-200;LPA;MAD;9
IBK5892; BOEING 737-800 WINGLETS;LPA;TRF;27
IBB109; BOMBARDIER CRJ-1000;LPA;TFN;5
JAF5182; BOEING 737-800 WINGLETS;LPA;BRU;20
CNF809; ATR-72;LPA;FUE;17
CNF721; ATR-72;LPA;ACE;20
WZZ3564; AIRBUS A320;BCN;TSR;8
VLG3916; AIRBUS A320;BCN;PMI;11
TRA5132; BOEING 737-800 WINGLETS;BCN;AMS;27
VLG1432; 32A;BCN;BIO;20
VLG9010; AIRBUS A320;BCN;MAD;21
EZY4416; AIRBUS A319;BCN;LYS;12
VLG2224; AIRBUS A320;BCN;SVQ;9
TVF3131; BOEING 737-800 WINGLETS;BCN;ORY;-3
EWG2529; AIRBUS A320;BCN;STR;25
VLG2111; AIRBUS A320;BCN;AGP;20
IBK5602; BOEING 737-800 WINGLETS;BCN;DUS;24
DLH1809; AIRBUS A319;BCN;MUC;6
EWG5921; 32A;BCN;VIE;9
AEA5035; ATR-72;MAD;AGP;12
VLG2115; 32B;BCN;AGP;12
IBK5830; BOEING 737-800 WINGLETS;LPA;AGP;16
VLG3283; 32A;TFS;AGP;17
RYR2359; BOEING 737-800 WINGLETS;ACE;NOC;14
IBB501; BOMBARDIER CRJ-1000;ACE;LPA;16
IBB453; ATR-42\/72;ACE;TFN;10
CNF704; ATR-42\/72;ACE;LPA;14
